Date,Close,High,Low,Open,Volume
2001/08/27,4.979174614,5.291511361,4.601009674,4.833511474,204166311
2001/08/28,5.162652969,5.18226168,4.847515203,4.900738368,65145307
2001/08/29,5.095424175,5.182262819,5.056207752,5.179460998,26758394
2001/08/30,5.196269035,5.253693772,5.042201456,5.08141889,24125560
2001/08/31,5.183663368,5.269100601,5.154250463,5.203272084,11673333
2001/09/03,5.180862427,5.262098117,5.161254715,5.210275673,11110863
2001/09/04,5.246690273,5.333527899,5.165454609,5.18366258,18595129
2001/09/05,5.243889809,5.311119746,5.21167575,5.267700754,13098098
2001/09/06,5.140244007,5.248091096,5.113632253,5.231283531,14570402
2001/09/07,4.997381687,5.175259526,4.993180131,5.112231824,15854346
2001/09/10,5.140244007,5.161253464,4.903540372,4.958163952,9486248
2001/09/11,5.082819462,5.175260079,5.070214121,5.154250955,5723644
2001/09/12,5.039400101,5.070213412,4.944158347,4.948359903,12584685
2001/09/13,5.026793957,5.084219018,5.000182204,5.043601185,5520577
2001/09/14,5.084218979,5.112231138,5.014188581,5.043601147,3855436
2001/09/17,5.019790649,5.082818005,4.972170115,5.053405105,4514257
2001/09/18,5.077216625,5.119234867,5.021191632,5.025393859,5413338
2001/09/19,5.171057224,5.171057224,5.050604791,5.084219587,4346710
2001/09/20,5.127638817,5.189265783,5.112232327,5.168256658,5614375
2001/09/21,5.050603867,5.126236893,5.042200085,5.081417508,3959394
2001/09/24,5.049204826,5.096825373,5.04220145,5.050605233,2044386
2001/09/25,5.074415684,5.117834675,5.049205003,5.081419061,1752873
2001/09/26,5.053406239,5.109431238,5.042201306,5.057608466,2490417
2001/09/27,5.140244007,5.179460764,5.042200772,5.053405703,4410781
2001/09/28,5.194869041,5.210275532,5.112232611,5.168256946,8586599
2001/10/01,5.194869041,5.210275532,5.112232611,5.168256946,0
2001/10/02,5.194869041,5.210275532,5.112232611,5.168256946,0
2001/10/03,5.194869041,5.210275532,5.112232611,5.168256946,0
2001/10/04,5.194869041,5.210275532,5.112232611,5.168256946,0
2001/10/05,5.194869041,5.210275532,5.112232611,5.168256946,0
2001/10/08,5.123437881,5.207474724,5.077218071,5.182264041,3292328
2001/10/09,5.224281311,5.252293139,5.126238066,5.126238066,4802956
2001/10/10,5.056207657,5.242488601,5.046403132,5.224280964,8817850
2001/10/11,5.00718689,5.112232515,4.993180806,5.043602505,6183930
