Date,Close,High,Low,Open,Volume
2007/03/01,15.83701611,17.25182121,15.50193014,16.9235048,395526702
2007/03/02,15.70839882,16.05702264,15.52901006,15.90809625,85009664
2007/03/05,15.02130508,15.62716565,14.73360469,15.56285679,83839348
2007/03/06,15.31576729,15.56961978,14.8080623,14.89267979,59545576
2007/03/07,15.73208809,15.87424618,15.2006902,15.32930919,57492756
2007/03/08,15.5425415,15.68131544,15.46130943,15.60346621,26196766
2007/03/09,15.41053581,15.60346357,15.12960644,15.53577062,32177558
2007/03/12,15.13299561,15.33269299,15.0619172,15.33269299,29070612
2007/03/13,15.19391727,15.31915081,15.10253022,15.16684035,20463936
2007/03/14,15.21084213,15.26499728,14.82160239,14.99422153,34661312
2007/03/15,15.21761227,15.73547229,15.16345711,15.40715595,30504380
2007/03/16,15.30223274,15.55270118,15.02807279,15.2277702,45509448
2007/03/19,15.30223274,15.30223274,15.30223274,15.30223274,0
2007/03/20,15.49515915,15.88101482,15.40038794,15.84039877,44405374
2007/03/21,15.26499081,15.56961421,15.19729786,15.50191998,27345664
2007/03/22,15.35300064,15.54254303,15.30899918,15.38346299,33501968
2007/03/23,15.28530788,15.41054145,15.1329961,15.3462326,27962028
2007/03/26,15.54930973,15.63731264,15.29207313,15.29884268,44653358
2007/03/27,15.53916073,15.69147252,15.44438952,15.49854468,27867638
2007/03/28,15.7659359,15.87424621,15.42746584,15.53577616,51652738
2007/03/29,16.04348373,16.51395698,15.73209056,15.84378632,92397236
2007/03/30,15.92501736,16.20256273,15.8133229,15.894555,28923440
2007/04/02,16.37856674,16.48349293,15.92501679,15.92501679,46289006
2007/04/03,16.3176403,16.50379857,16.21271542,16.3887187,26542408
2007/04/04,16.17548561,16.41579906,16.09425222,16.32102785,24490938
2007/04/05,16.21948433,16.24656255,15.97578677,16.17886828,24573076
2007/04/06,16.24994469,16.56810732,16.07732555,16.13825025,39041704
2007/04/09,17.46843719,17.56320838,16.14501952,16.27702262,92554042
2007/04/10,17.87798691,18.16907134,17.26197156,17.26197156,81564780
2007/04/11,18.12168503,18.67677565,17.80352239,17.89829487,48689300
2007/04/12,18.08783531,19.63125889,17.92198574,18.27060941,31854086
2007/04/13,18.62600136,19.10324395,18.27737771,18.31122419,53337890
2007/04/16,19.09647751,19.14047897,18.83924087,18.83924087,29394454
2007/04/17,18.66662025,19.29955877,18.14199074,19.10663098,39448776
2007/04/18,18.24691391,18.64630853,18.07429481,18.60907663,26064470
2007/04/19,17.59366989,18.37892016,16.99457786,18.10814443,41117340
2007/04/20,18.73093033,19.089709,17.72567399,17.8238306,37138056
2007/04/23,19.28602219,19.48571956,18.57523564,18.74108523,29386918
2007/04/24,18.89339828,19.63464724,18.86970548,19.62787897,32094574
2007/04/25,19.19463921,19.52972518,18.58539328,18.65647169,29187694
2007/04/26,19.80388451,19.86142509,19.15063842,19.15063842,36992264
2007/04/27,21.52669144,21.78392936,19.7328007,19.8174182,77967728
2007/04/30,22.28825378,22.95842566,21.11376351,21.39130887,40838088
2007/05/03,22.28825378,22.28825378,22.28825378,22.28825378,0
2007/05/04,22.28825378,22.28825378,22.28825378,22.28825378,0
2007/05/08,22.24425125,23.00919426,22.00055241,22.94826955,26465116
2007/05/09,22.24425125,22.60979951,21.32361234,21.83131739,22362540
2007/05/10,21.82454872,22.33902203,21.76362401,22.25778995,17168918
2007/05/11,21.25930214,21.62823451,20.69744197,21.49284599,32118596
2007/05/14,21.66546631,22.57256605,20.30820083,20.9174466,34348776
2007/05/15,20.82605934,21.82793026,20.79898241,21.7974692,22306796
2007/05/16,21.09683609,21.31684082,20.54512962,20.81590537,19768300
2007/05/17,21.27284431,21.5876216,20.98514526,21.09684101,16865596
2007/05/18,21.05283546,21.26945607,20.65005532,21.15099208,22354590
2007/05/21,21.47930908,21.86177931,20.5789788,20.61621071,33777744
2007/05/22,21.66208458,22.21717529,21.47931043,21.49284954,24875340
2007/05/23,21.73316002,22.00055165,21.5266931,21.7060818,15264162
2007/05/24,21.12730217,22.00055561,20.78206382,21.66208553,22840350
2007/05/25,20.95806122,21.37776458,20.85313635,20.97836988,17150900
2007/05/28,21.82454872,21.86516347,20.98852604,21.01222013,31669002
2007/05/29,21.99378395,22.16978723,21.72977516,21.8313172,19403590
2007/05/30,19.95957565,21.79069695,19.80387848,20.74821006,40663300
2007/05/31,20.62635803,21.15437161,19.81741507,20.30819675,28482626
2007/06/01,20.49436378,21.15438072,20.16604867,20.33866785,76897318
